;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes;n_amenities
4648;t;5.0;-22.98347;-43.22464;Serviced apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;221.0;$4,000.00;$165.00;30.0;3;94.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;44
4650;f;11.0;-22.96152;-43.17511;Apartment;Entire home/apt;4;1.0;0.0;2.0;Outros;148.0;$0.00;$80.00;0.0;3;85.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;18
4655;t;1.0;-22.96824;-43.18881;Apartment;Entire home/apt;5;2.0;2.0;2.0;Real Bed;279.0;$1,288.00;$252.00;74.0;2;97.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;35
4658;f;1.0;-22.98411;-43.22019;Apartment;Entire home/apt;2;1.0;1.0;1.0;Outros;232.0;$2,000.00;$170.00;150.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;13
4665;t;3.0;-22.97673;-43.19082;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;316.0;$1,718.00;$344.00;115.0;2;92.0;10.0;10.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;31
4666;t;2.0;-22.96299;-43.17164;Apartment;Entire home/apt;6;2.0;3.0;6.0;Real Bed;580.0;$2,108.00;$316.00;79.0;3;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;2020;4;49
4667;t;1.0;-22.96801;-43.18792;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;111.0;$500.00;$100.00;0.0;3;98.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;9
4677;t;10.0;-22.98415;-43.20898;Condominium;Entire home/apt;2;1.0;0.0;1.0;Real Bed;258.0;$600.00;$80.00;0.0;4;92.0;9.0;9.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;16
4679;f;1.0;-22.9098;-43.1767;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;106.0;$0.00;$150.00;75.0;3;95.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;18
4684;t;1.0;-22.97968;-43.19462;Apartment;Entire home/apt;6;2.5;3.0;3.0;Real Bed;400.0;$0.00;$200.00;0.0;3;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;37
4686;f;1.0;-22.96303;-43.20152;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;218.0;$3,000.00;$200.00;60.0;4;92.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;moderate;2020;4;15
4687;f;8.0;-22.97345;-43.1894;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;100.0;$0.00;$100.00;30.0;2;99.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;29
4688;t;6.0;-22.92937;-43.2351;Apartment;Private room;2;1.0;1.0;1.0;Outros;202.0;$0.00;$80.00;0.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;2020;4;30
4689;t;6.0;-22.92818;-43.23361;Apartment;Private room;3;1.0;1.0;1.0;Real Bed;80.0;$0.00;$80.00;50.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;29
4693;f;10.0;-22.96862;-43.18674;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;122.0;$500.00;$150.00;0.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;14
4697;t;5.0;-22.98269;-43.19523;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;169.0;$0.00;$170.00;30.0;2;90.0;9.0;8.0;9.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;30
4698;f;8.0;-22.97338;-43.18927;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;101.0;$0.00;$60.00;30.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;14
