;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes;n_amenities
1614;f;4.0;-23.00592;-43.34577;Apartment;Entire home/apt;7;3.0;4.0;7.0;Real Bed;648.0;$0.00;$250.00;100.0;4;96.0;10.0;9.0;10.0;10.0;9.0;9.0;t;f;flexible;2020;4;21
1615;f;1.0;-22.9815;-43.19462;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;200.0;$500.00;$100.00;80.0;3;89.0;9.0;9.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;23
1617;t;2.0;-22.96324;-43.16836;Apartment;Private room;2;2.5;1.0;0.0;Real Bed;47.0;$0.00;$35.00;40.0;2;91.0;10.0;9.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;36
1622;f;1.0;-22.98447;-43.19264;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;452.0;$800.00;$200.00;60.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;26
1623;f;1.0;-22.98239;-43.18941;Apartment;Entire home/apt;4;3.0;2.0;3.0;Real Bed;300.0;$0.00;$170.00;0.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;2020;4;33
1628;t;3.0;-22.96484;-43.18249;Apartment;Entire home/apt;4;2.0;1.0;1.0;Real Bed;181.0;$500.00;$130.00;20.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;28
1631;t;8.0;-22.97811;-43.18976;Apartment;Entire home/apt;6;1.0;1.0;4.0;Real Bed;269.0;$0.00;$100.00;50.0;2;96.0;9.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;24
1633;f;4.0;-22.96647;-43.17938;Apartment;Private room;2;1.0;1.0;0.0;Real Bed;90.0;$0.00;$130.00;50.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;20
1635;f;2.0;-22.98347;-43.22342;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;501.0;$3,000.00;$240.00;0.0;3;99.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;11
1637;f;4.0;-22.96529;-43.17939;Apartment;Private room;2;1.5;1.0;2.0;Real Bed;100.0;$0.00;$140.00;80.0;3;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;25
1643;f;6.0;-22.97524;-43.18702;Apartment;Private room;2;1.0;1.0;3.0;Real Bed;112.0;$0.00;$0.00;0.0;3;80.0;8.0;6.0;8.0;8.0;10.0;8.0;f;f;strict_14_with_grace_period;2020;4;20
1646;t;2.0;-22.96347;-43.18098;Apartment;Entire home/apt;2;1.0;1.0;0.0;Real Bed;290.0;$0.00;$150.00;120.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;25
1654;f;3.0;-22.97417;-43.1882;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;137.0;$0.00;$250.00;80.0;2;95.0;10.0;9.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;33
1656;f;1.0;-22.98334;-43.2185;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;348.0;$1,000.00;$0.00;100.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;26
1661;f;3.0;-22.93668;-43.17282;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;348.0;$500.00;$120.00;0.0;1;67.0;9.0;7.0;10.0;8.0;10.0;7.0;f;f;flexible;2020;4;9
1662;t;3.0;-22.98393;-43.20167;Apartment;Entire home/apt;3;1.5;2.0;3.0;Real Bed;374.0;$0.00;$200.00;100.0;2;100.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;flexible;2020;4;29
1666;f;3.0;-22.92246;-43.18173;Apartment;Private room;1;1.0;1.0;1.0;Outros;47.0;$0.00;$30.00;0.0;1;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;2020;4;24
1667;f;11.0;-22.98183;-43.19305;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;369.0;$600.00;$170.00;23.0;3;87.0;9.0;8.0;9.0;9.0;9.0;9.0;f;f;strict;2020;4;22
1674;t;1.0;-22.93084;-43.18095;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;532.0;$1,329.00;$213.00;53.0;2;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;46
1675;f;1.0;-22.9845;-43.21888;Serviced apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;248.0;$1,000.00;$0.00;60.0;3;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;23
1676;f;2.0;-22.97574;-43.18944;Apartment;Entire home/apt;8;2.0;3.0;4.0;Real Bed;448.0;$794.00;$200.00;0.0;2;97.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;28
1679;f;2.0;-22.93822;-43.20479;Outros;Entire home/apt;3;1.5;2.0;2.0;Real Bed;330.0;$484.00;$260.00;225.0;3;94.0;10.0;9.0;10.0;10.0;9.0;9.0;t;f;strict_14_with_grace_period;2020;4;25
1682;f;1.0;-22.98083;-43.20409;Apartment;Entire home/apt;4;2.0;1.0;1.0;Real Bed;616.0;$4,092.00;$300.00;0.0;2;92.0;10.0;9.0;10.0;9.0;10.0;8.0;f;f;moderate;2020;4;27
1683;f;2.0;-22.93764;-43.20506;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;303.0;$513.00;$265.00;167.0;3;95.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;25
1690;f;2.0;-23.02349;-43.48693;Apartment;Entire home/apt;6;2.0;2.0;6.0;Real Bed;160.0;$3,500.00;$150.00;67.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;18
1691;f;0.0;-22.97;-43.18404;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;242.0;$0.00;$40.00;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;28
1699;f;1.0;-22.98343;-43.19485;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;148.0;$500.00;$100.00;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;22
1704;t;5.0;-23.0557;-43.56125;House;Private room;2;1.0;1.0;1.0;Real Bed;298.0;$1,000.00;$20.00;50.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;2020;4;36
1705;f;1.0;-22.98492;-43.22343;Apartment;Private room;2;1.5;1.0;2.0;Real Bed;200.0;$500.00;$100.00;100.0;1;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;10
1713;f;1.0;-22.96352;-43.17651;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;111.0;$299.00;$90.00;0.0;2;94.0;9.0;9.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;13
1723;f;3.0;-22.98453;-43.20968;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;200.0;$1,300.00;$120.00;150.0;3;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;19
1729;f;2.0;-22.98332;-43.2073;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;358.0;$500.00;$200.00;0.0;3;93.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;15
1731;f;1.0;-22.93336;-43.20313;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;69.0;$419.00;$150.00;0.0;3;96.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;22
1739;f;1.0;-22.91346;-43.18546;Apartment;Entire home/apt;3;1.0;1.0;3.0;Real Bed;79.0;$600.00;$90.00;40.0;2;95.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;flexible;2020;4;10
1750;t;1.0;-22.97408;-43.1891;Apartment;Entire home/apt;8;2.5;3.0;6.0;Real Bed;311.0;$450.00;$290.00;52.0;3;95.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;moderate;2020;4;32
1751;f;4.0;-22.92666;-43.17386;Outros;Private room;2;1.0;1.0;1.0;Real Bed;74.0;$700.00;$100.00;0.0;1;92.0;9.0;10.0;10.0;9.0;10.0;9.0;f;f;flexible;2020;4;16
1754;f;8.0;-22.98424;-43.19091;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;327.0;$1,260.00;$344.00;0.0;3;93.0;10.0;10.0;9.0;9.0;10.0;9.0;t;f;strict;2020;4;20
1757;f;1.0;-22.96786;-43.18532;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;100.0;$385.00;$120.00;40.0;3;95.0;10.0;9.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;28
1759;t;2.0;-22.9018;-43.34974;Condominium;Private room;5;1.0;1.0;3.0;Outros;64.0;$0.00;$0.00;43.0;1;95.0;10.0;10.0;10.0;10.0;9.0;10.0;f;f;strict_14_with_grace_period;2020;4;22
1762;f;4.0;-22.98541;-43.21979;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;216.0;$524.00;$150.00;30.0;3;95.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;moderate;2020;4;32
1764;f;2.0;-22.97286;-43.18696;Loft;Private room;2;1.0;1.0;1.0;Real Bed;148.0;$0.00;$100.00;150.0;1;90.0;8.0;10.0;8.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;7
1765;t;1.0;-22.9857;-43.23115;Apartment;Entire home/apt;4;2.5;2.0;2.0;Real Bed;501.0;$3,000.00;$200.00;0.0;2;100.0;10.0;9.0;9.0;9.0;9.0;8.0;f;f;strict_14_with_grace_period;2020;4;21
1766;f;3.0;-22.93966;-43.17316;Apartment;Private room;3;2.0;1.0;3.0;Real Bed;63.0;$0.00;$89.00;87.0;1;99.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;31
1769;f;4.0;-22.92422;-43.18315;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;84.0;$500.00;$100.00;0.0;4;79.0;8.0;9.0;10.0;9.0;8.0;8.0;f;f;moderate;2020;4;11
1770;f;8.0;-22.97716;-43.20021;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;337.0;$527.00;$263.00;105.0;2;98.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;32
1772;f;0.0;-22.98237;-43.21947;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;590.0;$1,100.00;$100.00;0.0;2;96.0;10.0;9.0;10.0;8.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;43
1773;f;3.0;-22.98165;-43.2004;Apartment;Entire home/apt;4;3.0;2.0;3.0;Real Bed;295.0;$600.00;$320.00;100.0;4;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;34
1780;f;0.0;-22.91751;-43.18044;House;Private room;2;1.0;1.0;1.0;Real Bed;79.0;$433.00;$150.00;50.0;3;90.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;11
1788;t;1.0;-22.96196;-43.17653;Serviced apartment;Hotel room;2;1.0;1.0;2.0;Real Bed;100.0;$420.00;$85.00;55.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;32
1789;f;1.0;-22.91389;-43.25136;Apartment;Private room;3;1.0;1.0;1.0;Real Bed;160.0;$0.00;$0.00;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;19
1797;t;3.0;-22.97212;-43.22612;House;Entire home/apt;6;1.5;3.0;4.0;Real Bed;229.0;$0.00;$200.00;120.0;2;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;31
1801;t;2.0;-23.03101;-43.47739;Condominium;Entire home/apt;4;1.0;1.0;3.0;Real Bed;232.0;$414.00;$100.00;70.0;2;98.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;37
1803;t;2.0;-22.98613;-43.22424;Apartment;Entire home/apt;4;2.0;2.0;4.0;Real Bed;358.0;$1,000.00;$180.00;160.0;4;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;40
1808;f;1.0;-22.96587;-43.17713;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;369.0;$1,317.00;$211.00;527.0;3;93.0;9.0;9.0;10.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;9
1809;f;3.0;-22.96102;-43.16661;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;202.0;$1,000.00;$200.00;0.0;1;100.0;10.0;10.0;10.0;10.0;10.0;8.0;f;f;flexible;2020;4;12
1811;f;1.0;-22.91553;-43.17799;Outros;Entire home/apt;6;1.0;2.0;5.0;Real Bed;69.0;$0.00;$130.00;49.0;1;87.0;9.0;9.0;9.0;9.0;9.0;8.0;f;f;moderate;2020;4;30
1813;t;1.0;-23.01278;-43.32154;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;207.0;$0.00;$180.00;0.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;38
1814;t;1.0;-22.96577;-43.18273;Apartment;Entire home/apt;6;1.5;3.0;4.0;Real Bed;248.0;$1,000.00;$200.00;0.0;3;96.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;27
1816;f;3.0;-22.9634;-43.20107;Outros;Private room;1;1.0;1.0;1.0;Real Bed;84.0;$0.00;$150.00;50.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;21
1824;f;1.0;-22.97157;-43.1858;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;148.0;$350.00;$150.00;50.0;2;88.0;9.0;9.0;9.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;23
1842;f;2.0;-22.98377;-43.20044;Apartment;Entire home/apt;4;1.5;1.0;4.0;Real Bed;158.0;$0.00;$80.00;40.0;4;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;26
1848;t;1.0;-22.98069;-43.19107;Apartment;Entire home/apt;4;2.5;2.0;2.0;Real Bed;527.0;$0.00;$369.00;0.0;4;99.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;35
1849;t;1.0;-23.00896;-43.35314;Condominium;Entire home/apt;3;1.0;1.0;1.0;Real Bed;181.0;$1,000.00;$150.00;0.0;2;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;32
1851;f;1.0;-22.93857;-43.17774;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;148.0;$0.00;$130.00;100.0;1;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;flexible;2020;4;29
1854;t;1.0;-22.97543;-43.19763;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;153.0;$417.00;$250.00;35.0;2;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;38
1862;f;1.0;-22.92277;-43.18817;House;Private room;2;1.0;1.0;0.0;Outros;132.0;$0.00;$80.00;80.0;1;95.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;21
1865;f;1.0;-22.93968;-43.18828;Apartment;Entire home/apt;5;2.0;2.0;2.0;Real Bed;181.0;$1,600.00;$150.00;50.0;4;92.0;10.0;9.0;9.0;9.0;9.0;9.0;f;f;moderate;2020;4;27
1870;t;1.0;-22.9581;-43.17823;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;101.0;$2,500.00;$150.00;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;13
1878;f;1.0;-22.97286;-43.18849;Apartment;Entire home/apt;8;2.0;3.0;6.0;Real Bed;400.0;$0.00;$180.00;100.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;18
1879;f;10.0;-22.96276;-43.17546;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;142.0;$500.00;$170.00;50.0;4;93.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;24
1884;t;4.0;-22.98281;-43.19036;Apartment;Entire home/apt;3;1.0;0.0;0.0;Real Bed;90.0;$600.00;$160.00;20.0;1;93.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;21
1886;f;2.0;-22.98476;-43.19494;Apartment;Entire home/apt;4;2.0;2.0;4.0;Real Bed;290.0;$0.00;$286.00;401.0;3;93.0;10.0;9.0;9.0;9.0;10.0;9.0;f;f;flexible;2020;4;13
1896;f;3.0;-22.98471;-43.21482;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;290.0;$790.00;$263.00;105.0;3;76.0;9.0;6.0;7.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;11
1898;t;1.0;-22.98458;-43.2161;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;200.0;$0.00;$140.00;0.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;moderate;2020;4;42
1901;f;1.0;-22.96425;-43.17518;Apartment;Entire home/apt;6;2.5;3.0;4.0;Real Bed;395.0;$1,000.00;$200.00;80.0;1;93.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;20
1904;f;3.0;-22.91522;-43.2402;Outros;Entire home/apt;8;3.0;2.0;8.0;Real Bed;500.0;$0.00;$50.00;200.0;2;92.0;10.0;10.0;9.0;8.0;8.0;10.0;f;f;strict_14_with_grace_period;2020;4;15
1916;t;1.0;-22.98428;-43.19182;Apartment;Entire home/apt;5;2.0;2.0;5.0;Real Bed;227.0;$1,000.00;$180.00;100.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;34
1923;f;2.0;-22.98017;-43.19019;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;211.0;$0.00;$170.00;50.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;23
1925;f;2.0;-22.97522;-43.19226;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;321.0;$449.00;$150.00;23.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;24
1926;f;1.0;-22.97722;-43.19581;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;100.0;$0.00;$200.00;40.0;2;92.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;33
1931;t;2.0;-22.98455;-43.21713;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;601.0;$1,500.00;$120.00;100.0;4;100.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;13
1936;t;2.0;-22.98327;-43.19742;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;148.0;$500.00;$180.00;80.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;34
1938;f;2.0;-22.98273;-43.21864;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;279.0;$449.00;$130.00;25.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;moderate;2020;4;34
1939;t;1.0;-22.98562;-43.22505;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;248.0;$0.00;$0.00;0.0;4;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;41
1946;f;4.0;-22.97495;-43.19057;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;300.0;$470.00;$120.00;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;flexible;2020;4;27
1947;f;3.0;-22.9391;-43.17848;Apartment;Entire home/apt;6;2.5;2.0;5.0;Real Bed;248.0;$500.00;$190.00;35.0;2;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;30
1950;f;1.0;-22.98017;-43.22719;Apartment;Entire home/apt;7;2.0;2.0;3.0;Real Bed;490.0;$450.00;$300.00;200.0;1;93.0;10.0;9.0;10.0;9.0;9.0;9.0;t;f;strict_14_with_grace_period;2020;4;41
1956;f;1.0;-23.00212;-43.3774;Condominium;Entire home/apt;6;2.0;2.0;3.0;Real Bed;378.0;$2,000.00;$189.00;100.0;2;96.0;9.0;9.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;28
1960;f;2.0;-22.98269;-43.1974;Apartment;Private room;1;1.0;2.0;1.0;Real Bed;95.0;$1,000.00;$300.00;0.0;3;90.0;9.0;9.0;10.0;9.0;10.0;9.0;f;f;moderate;2020;4;10
1973;t;8.0;-22.94641;-43.16111;Apartment;Private room;3;0.5;1.0;1.0;Real Bed;399.0;$1,063.00;$160.00;106.0;3;90.0;9.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;30
1974;t;7.0;-22.97782;-43.18907;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;116.0;$0.00;$97.00;21.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;27
1976;f;0.0;-22.92033;-43.17887;Apartment;Entire home/apt;3;1.0;1.0;2.0;Outros;105.0;$0.00;$0.00;50.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;32
1979;f;2.0;-22.91272;-43.18714;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;248.0;$600.00;$100.00;0.0;3;80.0;8.0;10.0;8.0;10.0;10.0;8.0;f;f;strict_14_with_grace_period;2020;4;10
1989;f;1.0;-22.96817;-43.1846;Apartment;Entire home/apt;6;2.0;3.0;5.0;Real Bed;469.0;$1,145.00;$229.00;0.0;3;93.0;10.0;10.0;9.0;9.0;9.0;9.0;t;f;moderate;2020;4;6
1996;f;1.0;-22.9824;-43.21194;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;179.0;$360.00;$0.00;100.0;2;93.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;14
1997;f;0.0;-22.96611;-43.19208;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;200.0;$2,048.00;$300.00;0.0;1;100.0;10.0;10.0;10.0;10.0;10.0;8.0;f;f;strict_14_with_grace_period;2020;4;24
2000;f;6.0;-22.96706;-43.19181;Apartment;Entire home/apt;2;1.0;1.0;3.0;Real Bed;149.0;$500.00;$200.00;200.0;4;93.0;9.0;10.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;27
2003;f;0.0;-22.96032;-43.21854;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;287.0;$500.00;$300.00;0.0;3;93.0;9.0;9.0;10.0;10.0;10.0;10.0;f;f;moderate;2020;4;30
2015;f;2.0;-22.98277;-43.19993;Apartment;Entire home/apt;3;1.0;1.0;3.0;Real Bed;298.0;$2,000.00;$200.00;200.0;2;98.0;10.0;10.0;10.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;29
2018;f;2.0;-22.97496;-43.19797;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;79.0;$0.00;$50.00;0.0;1;97.0;10.0;10.0;10.0;10.0;9.0;10.0;f;f;moderate;2020;4;24
2023;f;1.0;-22.965;-43.18007;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;186.0;$0.00;$130.00;0.0;1;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;14
2025;f;6.0;-22.985;-43.2281;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;179.0;$2,000.00;$150.00;75.0;3;100.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;15
2027;f;2.0;-22.96675;-43.18376;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;132.0;$0.00;$158.00;0.0;4;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;22
2031;t;2.0;-22.9424;-43.19139;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;138.0;$0.00;$60.00;60.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;32
2032;f;3.0;-22.97359;-43.19099;Apartment;Entire home/apt;7;1.5;3.0;5.0;Real Bed;395.0;$1,054.00;$263.00;26.0;2;85.0;9.0;8.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;33
2038;f;1.0;-22.97485;-43.18975;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;379.0;$1,000.00;$200.00;100.0;2;88.0;9.0;8.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;19
2039;f;1.0;-22.97495;-43.18643;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;221.0;$1,000.00;$99.00;50.0;3;94.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;34
2048;f;4.0;-22.89779;-43.19383;House;Shared room;6;2.0;1.0;1.0;Real Bed;37.0;$0.00;$0.00;39.0;4;90.0;8.0;8.0;8.0;10.0;8.0;9.0;f;f;moderate;2020;4;7
2051;t;1.0;-22.9854;-43.23252;Apartment;Entire home/apt;4;2.5;2.0;3.0;Real Bed;616.0;$11,450.00;$567.00;160.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;2020;4;41
2061;t;5.0;-22.98418;-43.19454;Apartment;Entire home/apt;6;2.0;1.0;4.0;Real Bed;453.0;$550.00;$130.00;27.0;2;97.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;34
2068;f;3.0;-22.98168;-43.19179;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;121.0;$2,183.00;$198.00;60.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;30
2070;f;3.0;-22.98223;-43.22158;Apartment;Entire home/apt;6;2.0;3.0;5.0;Real Bed;601.0;$800.00;$180.00;0.0;4;100.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;20
2090;f;2.0;-22.98396;-43.19653;House;Private room;1;1.0;1.0;1.0;Real Bed;47.0;$0.00;$0.00;45.0;3;20.0;2.0;2.0;2.0;2.0;2.0;4.0;t;f;strict_14_with_grace_period;2020;4;14
